Additional File 3-1. Unique reactions involved in the in silico model of Rhodococcus jostii RHA1,,,,,,,,,,,
Name,ID,Definition,Equation,Directionality,Lower Bound,Upper Bound,EC No,ORF,Replaced Reaction,Reference,Note
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,R04428,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] <=> But-2-enoyl-[acyl-carrier protein] + H2O,C04618 <=> C04246 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04429,Butyryl-[acp] + NAD+ <=> But-2-enoyl-[acyl-carrier protein] + NADH + H+,C05745 + C00003 <=> C04246 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase,R04533,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+,C04618 + C00006 <=> C05744 + C00005 + C00080,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,R04534,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxodecanoyl-[acp] + NADPH,C04619 + C00006 <=> C05753 + C00005,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,R04535,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] <=> trans-Dec-2-enoyl-[acp] + H2O,C04619 <=> C05754 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,R04536,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxooctanoyl-[acp] + NADPH + H+,C04620 + C00006 <=> C05750 + C00005 + C00080,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase; (3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase,R04537,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] <=> trans-Oct-2-enoyl-[acp] + H2O,C04620 <=> C05751 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,R04543,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxohexadecanoyl-[acp] + NADPH + H+,C04633 + C00006 <=> C05762 + C00005 + C00080,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase,R04544,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] <=> trans-Hexadec-2-enoyl-[acp] + H2O,C04633 <=> C05763 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,R04566,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxotetradecanoyl-[acp] + NADPH + H+,C04688 + C00006 <=> C05759 + C00005 + C00080,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase,R04568,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] <=> trans-Tetradec-2-enoyl-[acp] + H2O,C04688 <=> C05760 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Dodecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04724,Dodecanoyl-[acyl-carrier protein] + NAD+ <=> trans-Dodec-2-enoyl-[acp] + NADH + H+,C05223 + C00003 <=> C05758 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04726,Dodecanoyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxotetradecanoyl-[acp] + CO2 + Acyl-carrier protein,C05223 + C01209 <=> C05759 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04952,Butyryl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexanoyl-[acp] + CO2 + Acyl-carrier protein,C05745 + C01209 <=> C05746 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,R04953,(R)-3-Hydroxyhexanoyl-[acp] + NADP+ <=> 3-Oxohexanoyl-[acp] + NADPH + H+,C05747 + C00006 <=> C05746 + C00005 + C00080,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,R04954,(R)-3-Hydroxyhexanoyl-[acp] <=> trans-Hex-2-enoyl-[acp] + H2O,C05747 <=> C05748 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Hexanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04955,Hexanoyl-[acp] + NAD+ <=> trans-Hex-2-enoyl-[acp] + NADH + H+,C05749 + C00003 <=> C05748 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04957,Hexanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxooctanoyl-[acp] + CO2 + Acyl-carrier protein,C05749 + C01209 <=> C05750 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
"Octanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04958,Octanoyl-[acp] + NAD+ <=> trans-Oct-2-enoyl-[acp] + NADH + H+,C05752 + C00003 <=> C05751 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04960,Octanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxodecanoyl-[acp] + CO2 + Acyl-carrier protein,C05752 + C01209 <=> C05753 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
"Decanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04961,Decanoyl-[acp] + NAD+ <=> trans-Dec-2-enoyl-[acp] + NADH + H+,C05755 + C00003 <=> C05754 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04963,Decanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxododecanoyl-[acp] + CO2 + Acyl-carrier protein,C05755 + C01209 <=> C05756 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,R04964,(R)-3-Hydroxydodecanoyl-[acp] + NADP+ <=> 3-Oxododecanoyl-[acp] + NADPH + H+,C05757 + C00006 <=> C05756 + C00005 + C00080,-1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,R04965,(R)-3-Hydroxydodecanoyl-[acp] <=> trans-Dodec-2-enoyl-[acp] + H2O,C05757 <=> C05758 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Tetradecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04966,Tetradecanoyl-[acp] + NAD+ <=> trans-Tetradec-2-enoyl-[acp] + NADH + H+,C05761 + C00003 <=> C05760 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
Tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),R04968,Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexadecanoyl-[acp] + CO2 + Acyl-carrier protein,C05761 + C01209 <=> C05762 + C00011 + C00229,1,0,Inf,ec:2.3.1.180,"ro00057, ro00058, ro01257, ro02213",,"(Kanehisa, Goto et al. 2004)",
"Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing)",R04969,Hexadecanoyl-[acp] + NAD+ <=> trans-Hexadec-2-enoyl-[acp] + NADH + H+,C05764 + C00003 <=> C05763 + C00004 + C00080,-1,0,Inf,ec:1.3.1.9,ro07214,,"(Kanehisa, Goto et al. 2004)",
,R07762,Hexadecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxostearoyl-[acp] + Acyl-carrier protein + CO2,C05764 + C01209 <=> C16219 + C00229 + C00011,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R07763,3-Oxostearoyl-[acp] + NADPH + H+ <=> 3-Hydroxyoctadecanoyl-[acp] + NADP+,C16219 + C00005 + C00080 <=> C16220 + C00006,1,0,Inf,ec:1.1.1.100,"ro00404, ro01501, ro01621, ro02340, ro02724, ro02726, ro02735, ro02844, ro03008, ro03028, ro03213, ro03214, ro04597, ro04695, ro04900, ro05199, ro05394, ro07213, ro08448, ro08469, ro08508, ro08631, ro11023, ro11162, ro11180",,"(Kanehisa, Goto et al. 2004)",
,R07764,3-Hydroxyoctadecanoyl-[acp] <=> (2E)-Octadecenoyl-[acp] + H2O,C16220 <=> C16221 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R07765,(2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+,C16221 + C00004 + C00080 <=> C04088 + C00003,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R08163,Octadecanoyl-[acyl-carrier protein] + H2O <=> Acyl-carrier protein + Octadecanoic acid,C04088 + C00001 <=> C00229 + C01530,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase,R04743,(S)-Hydroxydecanoyl-CoA + NAD+ <=> 3-Oxodecanoyl-CoA + NADH + H+,C05264 + C00003 <=> C05265 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase,R04745,(S)-Hydroxyoctanoyl-CoA + NAD+ <=> 3-Oxooctanoyl-CoA + NADH + H+,C05266 + C00003 <=> C05267 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase,R04748,(S)-Hydroxyhexanoyl-CoA + NAD+ <=> 3-Oxohexanoyl-CoA + NADH + H+,C05268 + C00003 <=> C05269 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
Acetyl-CoA:acetyl-CoA C-acetyltransferase,R00238,2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,2 C00024 <=> C00010 + C00332,1,-Inf,Inf,ec:2.3.1.9,"ro00399, ro01340, ro01455, ro01623, ro01876, ro02517, ro02734, ro03022, ro03024, ro03391, ro03460, ro03892, ro04204, ro04599, ro04678, ro04683, ro05200, ro05257, ro05686, ro05815, ro05841, ro06115, ro08871",,"(Kanehisa, Goto et al. 2004)",
Butanoyl-CoA:oxygen 2-oxidoreductase,R01175,Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA,C00136 + C00016 <=> C01352 + C00877,1,0,Inf,ec:1.3.3.6,ro02047,,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.3.99.2,"ro02521, ro03348, ro03612, ro03878, ro05203, ro06400",,,
,,,,,,,ec:1.3.99.3,"ro01504, ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357",,,
butanoyl-CoA:acetyl-CoA C-butanoyltransferase,R01177,Acetyl-CoA + Butanoyl-CoA <=> CoA + 3-Oxohexanoyl-CoA,C00024 + C00136 <=> C00010 + C05269,-1,-Inf,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:2.3.1.9,"ro00399, ro01340, ro01455, ro01623, ro01876, ro02517, ro02734, ro03022, ro03024, ro03391, ro03460, ro03892, ro04204, ro04599, ro04678, ro04683, ro05200, ro05257, ro05686, ro05815, ro05841, ro06115, ro08871",,,
Palmitoyl-CoA:oxygen 2-oxidoreductase,R01279,Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2,C00154 + C00016 <=> C05272 + C01352,1,0,Inf,ec:1.3.3.6,ro02047,,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.3.99.13,"ro00550, ro02345, ro02627, ro02715, ro02754, ro03954, ro05132, ro06787, ro08138",,,
,,,,,,,ec:1.3.99.3,"ro01504, ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357",,,
Palmitate:CoA ligase (AMP-forming),R01280,ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate,C00002 + C00249 + C00010 <=> C00020 + C00154 + C00013,1,0,Inf,ec:6.2.1.3,"ro01121, ro01496, ro01533, ro01899, ro03009, ro03747, ro03779, ro04492, ro06034, ro06989, ro08945, ro10229, ro10297",,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase,R01975,(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+,C01144 + C00003 <=> C00332 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
"Glutaryl-CoA:(acceptor) 2,3-oxidoreductase (decarboxylating)",R02487,Glutaryl-CoA + FAD <=> FADH2 + Crotonoyl-CoA + CO2,C00527 + C00016 <=> C01352 + C00877 + C00011,1,0,Inf,ec:1.3.99.7,ro02304,,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxybutanoyl-CoA hydro-lyase,R03026,(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O,C01144 <=> C00877 + C00001,-1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxybutanoyl-CoA 3-epimerase,R03276,(S)-3-Hydroxybutanoyl-CoA <=> (R)-3-Hydroxybutanoyl-CoA,C01144 <=> C03561,1,-Inf,Inf,ec:5.1.2.3,ro04205,,"(Kanehisa, Goto et al. 2004)",
Octanoyl-CoA:oxygen 2-oxidoreductase,R03777,Octanoyl-CoA + FAD <=> trans-Oct-2-enoyl-CoA + FADH2,C01944 + C00016 <=> C05276 + C01352,1,0,Inf,ec:1.3.3.6,ro02047,,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.3.99.13,"ro00550, ro02345, ro02627, ro02715, ro02754, ro03954, ro05132, ro06787, ro08138",,,
,,,,,,,ec:1.3.99.3,"ro01504, ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357",,,
Octanoyl-CoA:acetyl-CoA C-acyltransferase,R03778,Octanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxodecanoyl-CoA,C01944 + C00024 <=> C00010 + C05265,-1,-Inf,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
"Lauroyl-CoA:(acceptor) 2,3-oxidoreductase",R03857,Lauroyl-CoA + FAD <=> 2-trans-Dodecenoyl-CoA + FADH2,C01832 + C00016 <=> C03221 + C01352,1,0,Inf,ec:1.3.3.6,ro02047,,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.3.99.13,"ro00550, ro02345, ro02627, ro02715, ro02754, ro03954, ro05132, ro06787, ro08138",,,
,,,,,,,ec:1.3.99.3,"ro01504, ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357",,,
Lauroyl-CoA:acetyl-CoA C-acyltransferase,R03858,Lauroyl-CoA + Acetyl-CoA <=> CoA + 3-Oxotetradecanoyl-CoA,C01832 + C00024 <=> C00010 + C05261,-1,-Inf,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
"Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase",R03990,Tetradecanoyl-CoA + FAD <=> trans-Tetradec-2-enoyl-CoA + FADH2,C02593 + C00016 <=> C05273 + C01352,1,0,Inf,ec:1.3.3.6,ro02047,,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.3.99.13,"ro00550, ro02345, ro02627, ro02715, ro02754, ro03954, ro05132, ro06787, ro08138",,,
,,,,,,,ec:1.3.99.3,"ro01504, ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357",,,
myristoyl-CoA:acetylCoA C-myristoyltransferase,R03991,Tetradecanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxopalmitoyl-CoA,C02593 + C00024 <=> C00010 + C05259,-1,-Inf,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxydodecanoyl-CoA hydro-lyase,R04170,(S)-3-Hydroxydodecanoyl-CoA <=> 2-trans-Dodecenoyl-CoA + H2O,C05262 <=> C03221 + C00001,-1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase,R04737,(S)-3-Hydroxyhexadecanoyl-CoA + NAD+ <=> 3-Oxopalmitoyl-CoA + NADH + H+,C05258 + C00003 <=> C05259 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase,R04738,(S)-3-Hydroxyhexadecanoyl-CoA <=> trans-Hexadec-2-enoyl-CoA + H2O,C05258 <=> C05272 + C00001,-1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase,R04739,(S)-3-Hydroxytetradecanoyl-CoA + NAD+ <=> 3-Oxotetradecanoyl-CoA + NADH,C05260 + C00003 <=> C05261 + C00004,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase,R04740,(S)-3-Hydroxytetradecanoyl-CoA <=> trans-Tetradec-2-enoyl-CoA + H2O,C05260 <=> C05273 + C00001,-1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase,R04741,(S)-3-Hydroxydodecanoyl-CoA + NAD+ <=> 3-Oxododecanoyl-CoA + NADH + H+,C05262 + C00003 <=> C05263 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
Decanoyl-CoA:acetyl-CoA C-acyltransferase,R04742,Decanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxododecanoyl-CoA,C05274 + C00024 <=> C00010 + C05263,-1,-Inf,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
(S)-Hydroxydecanoyl-CoA hydro-lyase,R04744,(S)-Hydroxydecanoyl-CoA <=> trans-Dec-2-enoyl-CoA + H2O,C05264 <=> C05275 + C00001,-1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
(S)-Hydroxyoctanoyl-CoA hydro-lyase,R04746,(S)-Hydroxyoctanoyl-CoA <=> trans-Oct-2-enoyl-CoA + H2O,C05266 <=> C05276 + C00001,-1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
Hexanoyl-CoA:acetyl-CoA C-acyltransferase,R04747,Hexanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxooctanoyl-CoA,C05270 + C00024 <=> C00010 + C05267,-1,-Inf,Inf,ec:2.3.1.16,"ro02294, ro05543, ro06853, ro10318, ro11185",,"(Kanehisa, Goto et al. 2004)",
